flag;fl;fh;s;nsyms
1;9690;3202;3;10;
1;9644;5121;3;10;
1;32768;17171;0;10;
1;32768;1097;0;2;
1;32768;17180;0;13;
1;8556;0;13;14;
1;30645;19428;2;8;
1;25131;12049;1;16;
1;32768;20360;0;2;
1;32768;20496;0;3;
1;32768;2811;0;2;
1;31641;19954;1;5;
1;21416;17116;7;9;
1;32768;16958;0;2;
0;;16384;0;;
0;;16384;1;;
0;;16384;1;;
0;;16384;1;;
0;;16384;0;;
1;32768;1620;0;3;
1;13137;1717;1;4;
1;32768;4500;0;4;
1;32768;4360;0;4;
1;32768;4224;0;4;
1;32768;4092;0;4;
1;32768;3965;0;4;
1;32768;3842;0;4;
1;32768;3722;0;4;
1;32768;3606;0;4;
1;32768;3494;0;4;
1;32768;3385;0;4;
1;32768;3280;0;4;
1;32768;3178;0;4;
1;32768;3079;0;4;
1;32768;2983;0;4;
1;32768;2890;0;4;
1;32768;2800;0;4;
1;32768;2713;0;4;
1;32768;2671;0;4;
1;32768;2630;0;4;
1;32768;2589;0;4;
1;32768;2549;0;4;
1;32768;13750;0;4;
1;13321;1612;1;4;
1;32768;2510;0;4;
1;32768;2471;0;4;
1;32768;2433;0;4;
1;32768;2395;0;4;
1;32768;2358;0;4;
1;32768;2322;0;4;
1;32768;2286;0;4;
1;32768;2251;0;4;
1;2216;153;1;4;
1;32768;13928;0;4;
1;32768;2693;0;4;
1;32768;2651;0;4;
1;32768;2610;0;4;
1;32768;2590;0;4;
1;32768;2570;0;4;
1;32768;2550;0;4;
1;32768;2531;0;4;
1;13493;1514;1;4;
1;14095;1467;1;4;
1;32768;2512;0;4;
1;32768;2493;0;4;
1;32768;2474;0;4;
1;32768;2455;0;4;
1;32768;2436;0;4;
1;32768;2417;0;4;
1;32768;14678;0;4;
1;32768;2399;0;4;
1;32768;2381;0;4;
1;2363;134;1;4;
1;32768;2600;0;4;
1;32768;2580;0;4;
1;32768;2560;0;4;
1;14220;1378;1;4;
1;32768;14799;0;4;
1;32768;2540;0;4;
1;32768;2521;0;4;
1;32768;14337;0;4;
1;13889;1254;1;4;
1;2502;128;1;4;
1;32768;18908;0;4;
1;32768;14478;0;4;
1;14026;1178;1;4;
1;32768;2738;0;4;
1;32768;14611;0;4;
1;5994;635;1;4;
1;14924;3204;1;4;
1;32768;15481;0;4;
1;3007;940;2;4;
1;3597;0;3;4;
1;32768;13462;0;4;
1;32768;15553;0;4;
1;32768;21443;0;4;
1;6292;0;3;4;
1;13857;10037;2;4;
1;14236;0;3;4;





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































